Autor Citado,Descripción,Categoría
fig,"fig aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Vero2023,"Vero2023 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Chaudhuri2020,"Chaudhuri2020 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
masterton1979humidex,"masterton1979humidex aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Park2022,"Park2022 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
ISO,"ISO proporciona estándares internacionales para evaluar el confort térmico, incluyendo métodos específicos para medir la percepción térmica y definir rangos aceptables de condiciones ambientales.",Estándares
gomez,"gomez aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Mansi2022,"Mansi2022 aporta información relevante al estudio del confort térmico, abordando aspectos específicos como el impacto de las condiciones ambientales o los factores personales.",Otros
Fanger,"Fanger desarrolló un modelo de confort térmico basado en el balance térmico del cuerpo humano, considerando factores como la tasa metabólica, el aislamiento de la ropa, la temperatura ambiente, y la humedad.",Modelos de Confort
ASHRAE,Proporciona estándares para definir condiciones de confort térmico en espacios habitables.,Estándares
ISO,Presenta los estándares internacionales para la evaluación del confort térmico.,Estándares
Fanger,Describe el modelo de confort térmico basado en el balance de calor y factores personales.,Modelos de Confort
Gómez-Azpetia,Analiza la adaptación climática de los habitantes a las condiciones locales de temperatura.,Adaptación
